Country,Year,Issues
China,2006,63
China,2007,110
China,2008,360
China,2009,1979
China,2010,772
China,2011,2408
China,2012,6124
China,2013,6895
China,2014,9128
China,2015,8156
Total,2006,502
Total,2007,793
Total,2008,1442
Total,2009,4218
Total,2010,1885
Total,2011,3463
Total,2012,7641
Total,2013,8564
Total,2014,10692
Total,2015,9764
