City,Chinese_Americans,Percentage
San Francisco,"172,181",21.4
Honolulu,"38,330",10.2
Oakland,"34,083",8.7
San Jose,"63,434",6.7
New York City,"486,463",6
Plano,"13,592",5.2
Sacramento,"20,307",4.4
Seattle,"27,216",4.1
Boston,"24,910",4
San Diego,"35,661",2.7
Philadelphia,"30,069",2
Stockton,"5,188",1.8
Los Angeles,"66,782",1.8
Portland,"9,113",1.7
Chicago,"43,228",1.6
Anaheim,"4,738",1.4
Houston,"29,429",1.3
Austin,"8,886",1.2
Pittsburgh,"3,402",1.1
Riverside,"2,985",1
